                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.89838,                 0.7607,                 1.0645,                0.87474,                0.82466,                0.88548,                0.72551,                0.75893,                0.55396,                0.93866,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 0.8531,                0.72177,                 1.0567,                0.87882,                0.82425,                0.88408,                0.72691,                0.75738,                0.55272,                0.93832,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.86859,                0.73099,                 1.0348,                0.88577,                0.81967,                0.88401,                0.72866,                0.75475,                0.54811,                0.93695,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.81894,                0.72146,                 1.0323,                0.89723,                0.81437,                0.88599,                0.72758,                0.75274,                0.54145,                0.93611,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.86236,                0.74346,                 1.0403,                0.89591,                0.81118,                0.88426,                 0.7265,                0.74926,                0.53618,                0.93465,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.90158,                0.73828,                 1.0311,                0.89381,                0.81208,                0.88635,                0.73031,                0.74655,                0.53209,                0.93376,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.86826,                0.72602,                 1.0555,                0.88643,                0.81759,                0.88622,                0.72841,                0.74481,                0.53231,                0.93257,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.86191,                0.72311,                 1.0427,                0.89952,                0.81486,                0.88829,                0.73102,                0.74264,                0.53326,                0.93071,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.83586,                0.70509,                 1.0431,                 0.9081,                0.81337,                0.88822,                0.73377,                0.74089,                0.53618,                0.92997,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.88211,                0.75891,                 1.0419,                0.91327,                0.80852,                0.88783,                0.73352,                0.73719,                0.53702,                0.92896,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81453,                0.69136,                 1.0285,                0.90074,                0.80818,                0.88044,                0.73215,                0.73492,                0.53777,                0.92823,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.86706,                0.72132,                 1.0403,                0.89533,                0.81442,                0.88189,                0.73559,                0.73249,                0.53547,                0.92744,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 0.8339,                0.68504,                  1.024,                0.90243,                 0.8069,                0.88139,                0.73385,                0.73086,                0.53334,                0.92668,             3.6533e-05,             3.6533e-05,             3.6533e-05
